dteday,hr,casual,registered,temp_c,feels_like_c,hum,windspeed,weathersit,season,holiday,workingday
1/1/2011,0.0,3,13,3.0,3.0,0.7957,0.8,1,1,0,0
1/1/2011,1.0,8,30,1.7,1.7,0.8271999999999999,0.8,1,1,0,0
1/1/2011,2.0,5,26,1.9,1.9,0.8157,1.1,1,1,0,0
1/1/2011,3.0,3,9,2.5,2.5,0.7831,0.8,1,1,0,0
1/1/2011,4.0,0,1,2.0,2.0,0.8075,1.1,1,1,0,0
1/1/2011,5.0,0,1,2.7,1.3,0.769,5.4,1,1,0,0
1/1/2011,6.0,2,0,2.0,2.0,0.8131,1.0,1,1,0,0
1/1/2011,7.0,1,2,1.2,1.2,0.86,1.0,1,1,0,0
1/1/2011,8.0,1,7,2.9,2.9,0.7854000000000001,1.4,1,1,0,0
1/1/2011,9.0,8,6,7.0,7.0,0.7847,2.2,1,1,0,0
1/1/2011,10.0,12,22,10.1,10.1,0.7536,16.8,1,1,0,0
1/1/2011,11.0,26,30,9.6,7.0,0.7925,18.1,1,1,0,0
1/1/2011,12.0,29,54,12.1,12.1,0.7751,18.4,1,1,0,0
1/1/2011,13.0,47,47,13.2,13.2,0.7701,19.7,1,1,0,0
1/1/2011,14.0,34,69,14.1,14.1,0.7256999999999999,18.4,1,1,0,0
1/1/2011,15.0,40,67,13.1,13.1,0.7698999999999999,20.5,1,1,0,0
1/1/2011,16.0,41,50,12.2,12.2,0.8201999999999999,19.9,2,1,0,0
1/1/2011,17.0,15,51,13.1,13.1,0.8255,17.3,2,1,0,0
1/1/2011,18.0,9,22,11.5,11.5,0.8754000000000001,17.0,2,1,0,0
1/1/2011,19.0,6,27,11.9,11.9,0.8948999999999999,14.9,3,1,0,0
1/1/2011,20.0,11,23,12.2,12.2,0.9211,15.8,2,1,0,0
1/1/2011,21.0,3,31,11.4,11.4,0.9295,17.5,2,1,0,0
1/1/2011,22.0,11,17,11.5,11.5,0.9340999999999999,14.6,2,1,0,0
1/1/2011,23.0,15,24,12.4,12.4,0.9366,13.6,2,1,0,0
1/2/2011,0.0,4,13,14.1,14.1,0.8826,19.4,2,1,0,0
1/2/2011,1.0,1,15,13.3,13.3,0.9229999999999999,16.2,2,1,0,0
1/2/2011,2.0,1,8,12.4,12.4,0.9801000000000001,17.8,2,1,0,0
1/2/2011,3.0,2,4,13.9,13.9,0.9412,14.7,2,1,0,0
1/2/2011,4.0,2,1,14.1,14.1,0.9416,15.0,2,1,0,0
1/2/2011,5.0,0,0,12.2,12.2,0.8081999999999999,27.8,2,1,0,0
1/2/2011,6.0,0,2,11.0,11.0,0.7755,13.3,3,1,0,0
